Date,Recorded At,Stock,Action,Status,CMP,Trigger Price,Entry,SL,Target 1,Target 2,Triggered At,Last Updated
19-07-2026,19-07-2026 12:01:12,SHREECEM.NS,SELL,READY,26515.0,26426.74,,,,,,2026-07-19 12:01:11
19-07-2026,19-07-2026 12:01:12,TRENT.NS,SELL,READY,2842.4,2837.78,,,,,,2026-07-19 12:01:12
19-07-2026,19-07-2026 12:01:22,SHREECEM.NS,SELL,READY,26515.0,26426.74,,,,,,2026-07-19 12:01:21
19-07-2026,19-07-2026 12:01:22,TRENT.NS,SELL,READY,2842.4,2837.78,,,,,,2026-07-19 12:01:22
