date,Rank,Stock,Action,Score,ROLV,CMP,Status
19-07-2026,1,SHREECEM.NS,SELL,100,3.34,26515.0,WAITING
19-07-2026,2,TRENT.NS,SELL,100,3.26,2842.4,WAITING
